model,model_dir,mode,samples,accuracy,f1_macro,precision_macro,recall_macro,time_total_sec,time_avg_sec,confusion_matrix_path_csv,confusion_matrix_path_png,predictions_path,label,precision_label,recall_label,f1_label,support_label
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,text,648,0.24382716049382716,0.17929046861974338,0.2631213761229871,0.33712390428808336,41.97548747062683,0.06477698683738708,resultados_inferencia_smolvlm/matrix_confusion_text_text.csv,resultados_inferencia_smolvlm/matrix_confusion_text_text.png,resultados_inferencia_smolvlm/predicoes_text_text.csv,hate speech,0.6138613861386139,0.15422885572139303,0.24652087475149106,402.0
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,text,648,0.24382716049382716,0.17929046861974338,0.2631213761229871,0.33712390428808336,41.97548747062683,0.06477698683738708,resultados_inferencia_smolvlm/matrix_confusion_text_text.csv,resultados_inferencia_smolvlm/matrix_confusion_text_text.png,resultados_inferencia_smolvlm/predicoes_text_text.csv,inappropriate content,0.0,0.0,0.0,134.0
text,/home/amandazirpolo/DIMEMEX/FT_text/SmolVLM_DIMEMEX_20251124_212719 ***,text,648,0.24382716049382716,0.17929046861974338,0.2631213761229871,0.33712390428808336,41.97548747062683,0.06477698683738708,resultados_inferencia_smolvlm/matrix_confusion_text_text.csv,resultados_inferencia_smolvlm/matrix_confusion_text_text.png,resultados_inferencia_smolvlm/predicoes_text_text.csv,neither,0.17550274223034734,0.8571428571428571,0.291350531107739,112.0
image,/home/amandazirpolo/DIMEMEX/FT_image/SmolVLM_DIMEMEX_20251125_133530 ***,image,648,0.23765432098765432,0.2401370745334893,0.32959496442255065,0.3189410092395167,167.10624980926514,0.2578800151377548,resultados_inferencia_smolvlm/matrix_confusion_image_image.csv,resultados_inferencia_smolvlm/matrix_confusion_image_image.png,resultados_inferencia_smolvlm/predicoes_image_image.csv,hate speech,0.6206896551724138,0.13432835820895522,0.22085889570552147,402.0
image,/home/amandazirpolo/DIMEMEX/FT_image/SmolVLM_DIMEMEX_20251125_133530 ***,image,648,0.23765432098765432,0.2401370745334893,0.32959496442255065,0.3189410092395167,167.10624980926514,0.2578800151377548,resultados_inferencia_smolvlm/matrix_confusion_image_image.csv,resultados_inferencia_smolvlm/matrix_confusion_image_image.png,resultados_inferencia_smolvlm/predicoes_image_image.csv,inappropriate content,0.21333333333333335,0.3582089552238806,0.26740947075208915,134.0
image,/home/amandazirpolo/DIMEMEX/FT_image/SmolVLM_DIMEMEX_20251125_133530 ***,image,648,0.23765432098765432,0.2401370745334893,0.32959496442255065,0.3189410092395167,167.10624980926514,0.2578800151377548,resultados_inferencia_smolvlm/matrix_confusion_image_image.csv,resultados_inferencia_smolvlm/matrix_confusion_image_image.png,resultados_inferencia_smolvlm/predicoes_image_image.csv,neither,0.15476190476190477,0.4642857142857143,0.23214285714285715,112.0
text_description,/home/amandazirpolo/DIMEMEX/FT_text_description/SmolVLM_DIMEMEX_20251124_183536 ***,text_description,648,0.18209876543209877,0.11575333901676614,0.4474050853361198,0.3416252072968491,42.54460644721985,0.06565525686299359,resultados_inferencia_smolvlm/matrix_confusion_text_description_text_description.csv,resultados_inferencia_smolvlm/matrix_confusion_text_description_text_description.png,resultados_inferencia_smolvlm/predicoes_text_description_text_description.csv,hate speech,0.6666666666666666,0.009950248756218905,0.0196078431372549,402.0
text_description,/home/amandazirpolo/DIMEMEX/FT_text_description/SmolVLM_DIMEMEX_20251124_183536 ***,text_description,648,0.18209876543209877,0.11575333901676614,0.4474050853361198,0.3416252072968491,42.54460644721985,0.06565525686299359,resultados_inferencia_smolvlm/matrix_confusion_text_description_text_description.csv,resultados_inferencia_smolvlm/matrix_confusion_text_description_text_description.png,resultados_inferencia_smolvlm/predicoes_text_description_text_description.csv,inappropriate content,0.5,0.014925373134328358,0.028985507246376812,134.0
text_description,/home/amandazirpolo/DIMEMEX/FT_text_description/SmolVLM_DIMEMEX_20251124_183536 ***,text_description,648,0.18209876543209877,0.11575333901676614,0.4474050853361198,0.3416252072968491,42.54460644721985,0.06565525686299359,resultados_inferencia_smolvlm/matrix_confusion_text_description_text_description.csv,resultados_inferencia_smolvlm/matrix_confusion_text_description_text_description.png,resultados_inferencia_smolvlm/predicoes_text_description_text_description.csv,neither,0.1755485893416928,1.0,0.2986666666666667,112.0
text_description_image,/home/amandazirpolo/DIMEMEX/FT_image_text_description/SmolVLM_DIMEMEX_20251127_191312 ***,text_description_image,648,0.1882716049382716,0.1811508147344226,0.3401757006686584,0.31476545842217485,161.93159914016724,0.24989444311754203,resultados_inferencia_smolvlm/matrix_confusion_text_description_image_text_description_image.csv,resultados_inferencia_smolvlm/matrix_confusion_text_description_image_text_description_image.png,resultados_inferencia_smolvlm/predicoes_text_description_image_text_description_image.csv,hate speech,0.6818181818181818,0.03731343283582089,0.07075471698113207,402.0
